Date,Temp,Wind
2024-02-07,26.6,1.5
2024-02-08,26.3,1.5
2024-02-09,26.6,2.1
2024-02-10,26.3,2.6
2024-02-11,26.2,2.8
2024-02-12,25.3,2.8
2024-02-13,25.3,2.2
2024-02-14,25.6,2.3
2024-02-15,25.4,2.2
2024-02-16,25.0,1.9
2024-02-17,25.7,1.6
2024-02-18,25.3,1.8
2024-02-19,26.6,2.5
2024-02-20,26.1,2.3
2024-02-21,26.8,2.4
2024-02-22,27.6,2.5
2024-02-23,28.2,2.8
2024-02-24,28.0,2.9
2024-02-25,27.4,3.0
2024-02-26,27.2,3.3
2024-02-27,27.0,2.2
2024-02-28,26.9,2.0
2024-02-29,28.3,1.7
2024-03-01,28.4,2.1
2024-03-02,28.0,2.5
2024-03-03,27.7,2.4
2024-03-04,27.6,2.5
2024-03-05,27.7,1.7
2024-03-06,27.6,1.8
2024-03-07,28.1,2.1
2024-03-08,29.2,2.2
2024-03-09,28.6,2.3
2024-03-10,28.8,2.5
2024-03-11,28.9,2.0
2024-03-12,28.7,2.5
2024-03-13,29.3,2.8
2024-03-14,29.8,2.5
2024-03-15,29.3,2.5
2024-03-16,29.2,2.7
2024-03-17,28.8,2.1
2024-03-18,28.7,2.2
2024-03-19,28.7,2.4
2024-03-20,28.1,2.3
2024-03-21,28.3,2.5
2024-03-22,29.1,2.7
2024-03-23,29.6,2.7
2024-03-24,29.7,2.6
2024-03-25,29.3,2.3
2024-03-26,29.2,2.4
2024-03-27,30.2,2.5
2024-03-28,29.6,2.4
2024-03-29,30.1,2.7
2024-03-30,30.5,2.3
2024-03-31,30.2,2.3
2024-04-01,29.7,2.4
2024-04-02,30.6,2.6
2024-04-03,30.9,2.8
2024-04-04,31.4,2.5
2024-04-05,31.9,2.8
2024-04-06,32.5,2.5
2024-04-07,32.5,2.8
2024-04-08,31.2,4.3
2024-04-09,31.5,3.4
2024-04-10,30.6,2.5
2024-04-11,30.9,2.2
2024-04-12,31.2,2.8
2024-04-13,31.0,2.1
2024-04-14,31.6,2.6
2024-04-15,31.6,2.1
2024-04-16,32.6,3.8
2024-04-17,33.4,3.7
2024-04-18,33.8,3.9
2024-04-19,33.3,2.7
2024-04-20,33.0,2.6
2024-04-21,33.2,2.9
2024-04-22,32.8,2.3
2024-04-23,32.8,2.4
2024-04-24,32.9,2.0
2024-04-25,33.0,2.7
2024-04-26,33.4,2.7
2024-04-27,33.3,2.5
2024-04-28,33.5,2.6
2024-04-29,33.4,2.7
2024-04-30,33.2,2.9
2024-05-01,34.2,3.3
2024-05-02,34.4,3.5
2024-05-03,34.4,3.6
2024-05-04,34.1,3.1
2024-05-05,34.5,3.4
2024-05-06,34.0,3.5
2024-05-07,30.8,4.8
2024-05-08,30.3,2.6
2024-05-09,31.3,3.0
2024-05-10,30.1,2.6
2024-05-11,32.0,2.8
2024-05-12,32.0,2.5
2024-05-13,31.8,1.9
2024-05-14,30.9,2.0
2024-05-15,32.1,2.3
2024-05-16,30.1,2.3
2024-05-17,28.4,1.7
2024-05-18,29.2,1.8
2024-05-19,29.2,2.1
2024-05-20,30.3,2.0
2024-05-21,32.2,2.3
2024-05-22,32.2,2.8
2024-05-23,32.6,2.4
2024-05-24,32.3,2.4
2024-05-25,27.7,2.3
2024-05-26,32.0,2.5
2024-05-27,33.1,3.7
2024-05-28,33.7,3.6
2024-05-29,34.6,2.8
2024-05-30,35.6,2.4
2024-05-31,35.5,2.2
2024-06-01,33.0,2.9
2024-06-02,32.2,2.2
2024-06-03,30.5,2.1
2024-06-04,33.1,2.4
2024-06-05,32.5,3.4
2024-06-06,29.7,1.9
2024-06-07,29.1,1.8
2024-06-08,30.0,2.7
2024-06-09,30.5,2.7
2024-06-10,29.4,2.4
2024-06-11,31.2,3.4
2024-06-12,32.1,3.1
2024-06-13,31.4,2.8
2024-06-14,32.4,3.7
2024-06-15,33.5,3.2
2024-06-16,32.3,3.4
2024-06-17,32.0,1.8
2024-06-18,32.0,2.9
2024-06-19,30.6,2.4
2024-06-20,31.9,2.5
2024-06-21,32.5,3.3
2024-06-22,30.5,1.9
2024-06-23,28.9,2.0
2024-06-24,30.9,2.6
2024-06-25,32.3,1.9
2024-06-26,30.9,2.5
2024-06-27,27.7,2.0
2024-06-28,28.1,1.7
2024-06-29,29.4,2.3
2024-06-30,26.6,1.4
2024-07-01,28.3,2.2
2024-07-02,30.9,2.9
2024-07-03,30.7,2.1
2024-07-04,31.5,3.1
2024-07-05,30.4,1.9
2024-07-06,28.6,2.3
2024-07-07,28.2,1.6
2024-07-08,30.0,2.2
2024-07-09,28.4,1.7
2024-07-10,30.6,2.5
2024-07-11,31.4,2.9
2024-07-12,28.6,1.6
2024-07-13,27.0,2.2
2024-07-14,26.8,2.8
2024-07-15,26.1,1.7
2024-07-16,28.8,2.3
2024-07-17,29.9,3.3
2024-07-18,27.0,2.6
2024-07-19,26.0,3.0
2024-07-20,26.4,4.4
2024-07-21,26.5,2.2
2024-07-22,28.2,3.0
2024-07-23,28.9,3.9
2024-07-24,28.6,2.6
2024-07-25,29.5,4.5
2024-07-26,29.9,4.6
2024-07-27,29.5,3.8
2024-07-28,30.1,3.0
2024-07-29,30.5,3.1
2024-07-30,30.8,2.8
2024-07-31,29.8,2.9
2024-08-01,29.8,2.9
2024-08-02,30.0,2.6
2024-08-03,30.7,2.9
2024-08-04,31.7,3.0
