Date,Temp,Wind
2024-02-07,28.1,1.5
2024-02-08,27.5,1.4
2024-02-09,27.8,2.2
2024-02-10,27.4,3.4
2024-02-11,27.0,3.0
2024-02-12,25.8,3.2
2024-02-13,25.8,2.5
2024-02-14,25.7,2.6
2024-02-15,25.1,2.3
2024-02-16,25.3,2.3
2024-02-17,25.9,2.1
2024-02-18,25.9,2.0
2024-02-19,26.4,2.8
2024-02-20,26.7,2.8
2024-02-21,27.3,2.5
2024-02-22,27.7,2.9
2024-02-23,28.4,2.5
2024-02-24,28.1,2.9
2024-02-25,27.9,3.1
2024-02-26,27.7,3.5
2024-02-27,27.4,2.7
2024-02-28,27.3,2.2
2024-02-29,28.5,2.1
2024-03-01,28.6,2.6
2024-03-02,28.1,2.5
2024-03-03,28.1,2.7
2024-03-04,27.9,2.6
2024-03-05,27.9,2.3
2024-03-06,27.8,2.7
2024-03-07,28.3,2.2
2024-03-08,29.0,2.2
2024-03-09,29.2,2.6
2024-03-10,29.4,3.1
2024-03-11,29.0,2.8
2024-03-12,29.1,3.0
2024-03-13,29.1,3.1
2024-03-14,29.2,2.4
2024-03-15,28.4,2.5
2024-03-16,28.8,2.8
2024-03-17,28.9,2.8
2024-03-18,28.7,2.0
2024-03-19,29.1,2.3
2024-03-20,27.7,2.8
2024-03-21,28.0,2.9
2024-03-22,28.5,2.4
2024-03-23,29.1,2.5
2024-03-24,29.5,2.9
2024-03-25,29.1,2.3
2024-03-26,28.7,2.7
2024-03-27,29.0,2.8
2024-03-28,29.6,2.6
2024-03-29,29.7,3.1
2024-03-30,29.8,2.7
2024-03-31,29.9,2.5
2024-04-01,29.8,3.2
2024-04-02,30.1,3.0
2024-04-03,30.0,3.2
2024-04-04,30.2,3.1
2024-04-05,30.7,3.2
2024-04-06,30.8,2.6
2024-04-07,31.1,3.3
2024-04-08,30.4,4.3
2024-04-09,30.9,3.2
2024-04-10,30.2,2.6
2024-04-11,30.4,2.5
2024-04-12,30.9,2.9
2024-04-13,30.9,2.6
2024-04-14,31.3,2.7
2024-04-15,31.7,2.3
2024-04-16,32.1,2.9
2024-04-17,32.7,2.8
2024-04-18,32.2,2.7
2024-04-19,32.1,3.3
2024-04-20,32.0,3.1
2024-04-21,32.2,2.7
2024-04-22,32.0,2.5
2024-04-23,31.7,2.0
2024-04-24,31.8,2.2
2024-04-25,32.0,2.7
2024-04-26,32.3,2.8
2024-04-27,32.1,2.7
2024-04-28,32.4,3.0
2024-04-29,32.2,3.1
2024-04-30,32.0,3.5
2024-05-01,32.9,4.0
2024-05-02,33.0,4.2
2024-05-03,33.3,3.8
2024-05-04,33.0,4.1
2024-05-05,33.2,4.3
2024-05-06,33.1,4.2
2024-05-07,29.8,3.6
2024-05-08,29.3,2.5
2024-05-09,30.8,2.5
2024-05-10,30.5,2.4
2024-05-11,31.4,2.3
2024-05-12,31.2,2.2
2024-05-13,30.5,1.9
2024-05-14,30.5,1.7
2024-05-15,31.0,1.7
2024-05-16,29.3,2.1
2024-05-17,28.7,1.9
2024-05-18,30.0,1.3
2024-05-19,30.2,2.0
2024-05-20,31.1,1.9
2024-05-21,31.9,2.3
2024-05-22,32.2,3.1
2024-05-23,32.1,2.2
2024-05-24,31.2,2.0
2024-05-25,29.4,1.6
2024-05-26,32.2,3.1
2024-05-27,33.6,3.4
2024-05-28,33.9,3.4
2024-05-29,34.7,3.4
2024-05-30,34.7,2.8
2024-05-31,34.4,2.9
2024-06-01,32.2,3.5
2024-06-02,30.3,2.8
2024-06-03,29.5,1.8
2024-06-04,32.0,2.2
2024-06-05,31.7,2.5
2024-06-06,29.5,2.2
2024-06-07,29.6,2.4
2024-06-08,29.5,2.6
2024-06-09,30.5,3.3
2024-06-10,30.0,2.8
2024-06-11,30.7,3.6
2024-06-12,30.7,3.1
2024-06-13,31.6,3.1
2024-06-14,32.1,3.0
2024-06-15,32.9,3.1
2024-06-16,32.6,2.9
2024-06-17,32.3,2.9
2024-06-18,32.8,3.5
2024-06-19,30.6,3.1
2024-06-20,31.7,3.4
2024-06-21,31.7,3.2
2024-06-22,29.7,2.5
2024-06-23,29.1,1.5
2024-06-24,31.1,2.5
2024-06-25,31.7,2.6
2024-06-26,30.7,3.6
2024-06-27,27.6,3.2
2024-06-28,28.7,3.2
2024-06-29,29.1,3.2
2024-06-30,27.7,3.2
2024-07-01,28.6,3.8
2024-07-02,30.1,3.8
2024-07-03,30.4,3.1
2024-07-04,31.6,3.3
2024-07-05,30.1,3.1
2024-07-06,28.0,3.9
2024-07-07,28.3,2.9
2024-07-08,29.6,2.5
2024-07-09,27.7,2.3
2024-07-10,29.9,2.3
2024-07-11,30.6,3.3
2024-07-12,29.2,3.4
2024-07-13,27.5,4.1
2024-07-14,26.9,4.3
2024-07-15,27.1,3.8
2024-07-16,28.4,3.3
2024-07-17,29.1,3.6
2024-07-18,27.2,4.1
2024-07-19,25.8,5.8
2024-07-20,26.0,6.2
2024-07-21,26.4,5.1
2024-07-22,27.7,4.6
2024-07-23,29.2,5.3
2024-07-24,29.1,5.1
2024-07-25,28.9,5.1
2024-07-26,28.7,4.9
2024-07-27,28.8,5.4
2024-07-28,29.1,4.1
2024-07-29,29.8,3.1
2024-07-30,29.9,3.6
2024-07-31,29.9,3.8
2024-08-01,29.3,3.8
2024-08-02,29.4,4.1
2024-08-03,29.9,3.6
2024-08-04,31.0,3.5
